Title,Authors,Description,url,Tags,Category,Date
pacman,Mario Gutiérrez,"A Deep Q-Network agent that learns to play Pac-Man from scratch via reinforcement learning. No hand-coded rules, no hardcoded strategies — just a neural network, a reward signal, and a lot of episodes.",https://github.com/maariogutierrez/pacman,"AI, AI:Neural Networks, AI:Reinforcement Learning","Software, Personal project",6/23/2026
mini-gpt,Mario Gutiérrez,"Built a GPT-2 architecture from scratch in PyTorch and trained it on the TinyStories dataset. The result is a lightweight model that generates coherent, short form children's stories.",https://github.com/maariogutierrez/mini-gpt,"AI, AI:Language Models","Software, Personal project",5/10/2026
dynamic-risk-assesment-dashboard,Mario Gutiérrez,"A Flask-based web application for dynamic cybersecurity risk assessment, combining OWL ontology modeling with Elasticsearch-backed storage to visualize, compute, and propagate risk scores across system architectures.",https://github.com/maariogutierrez/dynamic-risk-assessment-dashboard,"Web Development, Cybersecurity, Cybersecurity:Risk Assessment, Cybersecurity:Risk Propagation","Software, University project",4/6/2026
GreenChoiceAI,"Mario Gutiérrez, Jorge Martínez, Jose María Martín, Inés García","GreenChoiceAI routes questions to the most cost-efficient LLM based on predicted category and heuristic difficulty. Backend (FastAPI) computes difficulty, predicts category with sentence embeddings + SVM, selects a model using performance CSV, and returns concise LLM answers; frontend is a Vite+React chat UI.",https://github.com/maariogutierrez/GreenChoiceAI,"AI, AI:Language Models","Software, II Edición IndesiaHack winner",11/22/2025
rubiks-solver,Mario Gutiérrez,A 3x3x3 Rubik's Cube solver that uses a supervised neural network trained with Bellman targets employing curriculum learning as a heuristic for A* search.,https://github.com/maariogutierrez/rubiks-solver,"AI, AI:Neural Networks","Software, Personal project",4/6/2026
data-orchestrator,"Mario Gutiérrez, Jose María Martín, Juan Pérez, Sergio González","Data Orchestrator automates the ingestion of taxi data from a CSV into MongoDB (backup) and Elasticsearch (primary). It integrates a Rasa chatbot that answers questions by distinguishing between common ones (responses taken from a CSV) and uncommon ones (direct queries to Elasticsearch), and provides a Flask-based web interface.",https://github.com/maariogutierrez/data-orchestrator,Data Engineering,"Software, University project",11/22/2025
tech-skills-study,Mario Gutiérrez,"Exploratory data analysis of tech skill demand, scarcity scores, and salary premiums across six industry categories using the Skill Scarcity Index dataset.",https://github.com/maariogutierrez/tech-skills-study,"Data Engineering, Data Engineering:Exploratory Data Analysis, Data Engineering:Data Visualization","Software, Personal project",7/31/2026
Brainzzz,Mario Gutiérrez,"High-performance AI trivia engine built with React. Features real-time question synthesis from Wikipedia via Groq API, adaptive difficulty scaling, and a hybrid ELO-time rating system. Master general culture through an addictive, competitive, and data-driven experience.",https://github.com/maariogutierrez/Brainzzz,Web Development,"Software, Personal project",1/22/2026
Metodología para la caracterización y modelado de la propagación de riesgos de ciberseguridad,"Mario Gutiérrez, Carmen Sánchez-Zas, Sonia Solera-Cotanilla, Xavier Larriva-Novo, Víctor A. Villagrá","La creciente interconectividad de los sistemas digitales ha incrementado la complejidad y el alcance de los riesgos de ciberseguridad, favoreciendo su propagación a través de infraestructuras y organizaciones interdependientes. Esta propuesta analiza la propagación de los riesgos de ciberseguridad desde la llegada de una amenaza a un sistema, evaluando las relaciones entre activos y modelando un conjunto de reglas de propagación. Se propone un sistema que permite modelar los mecanismos de transmisión del riesgo y capturar efectos en cascada derivados de dependencias entre activos y su relevancia dentro del marco de riesgos de ciberseguridad. Este enfoque dinámico facilita la identificación de puntos críticos y la evaluación de escenarios.",https://drive.google.com/file/d/1cmRKdCyhp5Z6yh0lB3LDQNAuUd768cgJ/view?usp=sharing,"Cybersecurity, Cybersecurity:Risk Assessment, Cybersecurity:Risk Propagation","Article, University project",3/2/2026
face-recognition-stream,Mario Gutiérrez,"A real-time face recognition and tracking web application using Flask, OpenCV, facenet-pytorch, and DeepSort. Stream video from your laptop or mobile, recognize faces, and train new identities via a web interface.",https://github.com/maariogutierrez/face-recognition-stream,"AI, AI:Computer Vision","Software, Personal project",7/30/2025
website,Mario Gutiérrez,"Personal portfolio built with React + Vite and Mantine; showcases projects, experience, and technologies. Responsive, bilingual (EN/ES), deployed on Netlify.",https://github.com/maariogutierrez/website,Web Development,"Software, Personal project",3/18/2026
dudasETSIT,Mario Gutiérrez,"A Flask web app for managing and discussing issues within a student group, featuring user authentication, voting, and message-based discussions.",https://github.com/maariogutierrez/dudasETSIT,Web Development,"Software, Personal project",7/30/2025
